product_id,title,description,price,rating
1,Kablosuz Klavye,Konforlu yazım deneyimi sunan kablosuz klavye.,349.99,4.5
2,Bluetooth Kulaklık,Yüksek ses kalitesi ve gürültü engelleme özellikli Bluetooth kulaklık.,599.9,4.7
3,Seramik Kupa,"Sıcak içecekler için ideal, şık tasarımlı seramik kupa.",79.9,4.3
4,Dizüstü Bilgisayar,"Yüksek performanslı, 16GB RAM ve SSD donanımlı dizüstü bilgisayar.",15999.0,4.8
5,USB Bellek,"Taşınabilir, 64GB kapasiteli hızlı USB bellek.",129.9,4.4
6,Masa Lambası,Ayarlanabilir ışık seviyelerine sahip LED masa lambası.,189.9,4.2
7,Akıllı Telefon,Geniş ekranlı ve yüksek çözünürlüklü kameralı akıllı telefon.,12999.0,4.6
8,Çaydanlık,"Paslanmaz çelik gövdeli, geniş hacimli çaydanlık.",299.9,4.0
9,Oyuncu Mouse,"Ergonomik tasarımlı, yüksek DPI ayarlı oyuncu mouse.",459.9,4.5
10,Kitap: Suç ve Ceza,"Fyodor Dostoyevski'nin klasik eseri, insan psikolojisine dair derin bir roman.",39.9,4.9
